uid,domain,ann1,ann2,ann3,adjudicator,final_label,gold_role
8f7ded26716efbde,Tech,negative,neutral,neutral,neutral,neutral,
7c0ebe2c3881fd03,Tech,positive,positive,positive,positive,positive,
00dcc073f3d97390,Tech,neutral,neutral,neutral,neutral,neutral,gold_test
9e2ece84db6c9086,Tech,neutral,neutral,neutral,neutral,neutral,
bc6d44bc9bab6e8d,Tech,negative,negative,neutral,negative,negative,
287365a577b650ea,Tech,positive,negative,negative,negative,negative,
6a6e82d72ba20558,Tech,neutral,neutral,positive,neutral,neutral,
3872073c15580cc2,Tech,neutral,neutral,neutral,neutral,neutral,
15b785bf8722409a,Tech,neutral,neutral,neutral,neutral,neutral,
3582dae93fc470b8,Tech,negative,negative,negative,negative,negative,
f972471a04c0960d,Tech,positive,neutral,positive,positive,positive,
bcab3b17965d6939,Tech,positive,positive,positive,positive,positive,
e51aef3f21204ecc,Tech,positive,negative,positive,positive,positive,
6d91daf8f5e07c50,Tech,positive,positive,positive,positive,positive,
a57a08760c77be5e,Tech,positive,positive,positive,positive,positive,
f072562d1fe38b58,Tech,neutral,neutral,neutral,neutral,neutral,
7d827730df26f48c,Tech,neutral,neutral,neutral,neutral,neutral,
d875cd5cb945e136,Tech,neutral,positive,neutral,neutral,neutral,
8619919dc8374441,Tech,neutral,positive,neutral,neutral,neutral,
4dbb44a1512a79b6,Tech,negative,positive,negative,negative,negative,
b6074397559f05c8,Tech,negative,negative,negative,negative,negative,
4350b3ce69395bd0,Tech,neutral,negative,neutral,negative,negative,
e63cd2ca652c954c,Tech,positive,positive,positive,positive,positive,
c575181260e0c981,Retail,neutral,neutral,neutral,neutral,neutral,gold_test
26246485ab8dd545,Tech,neutral,neutral,positive,neutral,neutral,
2aaae33992414fa5,Tech,neutral,neutral,neutral,neutral,neutral,
3d3f54aedc323181,Tech,positive,positive,positive,positive,positive,
637f13b1f9398c2d,Tech,positive,negative,positive,positive,positive,
2b4fe234bc68897f,Tech,neutral,positive,positive,positive,positive,
61dc6a6fee775502,Social,positive,positive,positive,positive,positive,gold_test
19cb338d72e619c3,Tech,neutral,neutral,neutral,neutral,neutral,
58722f8fc738ab3b,Tech,neutral,neutral,neutral,neutral,neutral,
6b5c1deafcccded6,Tech,neutral,neutral,neutral,neutral,neutral,
2761eb4ed8f6acfd,Tech,neutral,neutral,neutral,neutral,neutral,
e2d2237023071632,Tech,neutral,positive,positive,positive,positive,
cd2dd23a93217908,Tech,negative,negative,negative,negative,negative,
f1f3a82dc454e643,Tech,positive,positive,positive,positive,positive,
367452d46783d817,Tech,negative,negative,negative,negative,negative,gold_test
bde4c4d038c440fb,Tech,negative,negative,negative,negative,negative,
d71ba02a412c7440,Public,neutral,neutral,negative,neutral,neutral,gold_dev
b89e9fdd15fe96d3,Tech,neutral,neutral,neutral,neutral,neutral,
d793bc53b99853df,Tech,negative,negative,negative,negative,negative,
18bf4f702413a5c3,Tech,positive,positive,positive,positive,positive,
c23deb635969af94,Tech,positive,positive,positive,positive,positive,
2fc16ac8f7cf9427,Tech,neutral,neutral,neutral,neutral,neutral,
237fb752bdcd9526,Tech,neutral,neutral,neutral,neutral,neutral,
9cc88ea9b828b218,Retail,negative,negative,negative,negative,negative,gold_test
82ceb86d04a6121d,Tech,positive,positive,positive,positive,positive,
740010cec8112465,Tech,negative,negative,negative,negative,negative,
8b74710fd918c753,Tech,negative,negative,negative,negative,negative,
a27734ff373b2afc,Tech,neutral,neutral,neutral,neutral,neutral,
a64e03beecb8b5a5,Tech,negative,negative,negative,negative,negative,
78e310ad9b9d21bc,Tech,negative,negative,negative,negative,negative,
fe388ce45620018e,Tech,neutral,neutral,positive,neutral,neutral,
d2825271b65a253a,Tech,neutral,neutral,neutral,neutral,neutral,
90d067552e26bbf7,Tech,neutral,neutral,neutral,neutral,neutral,
55c0b2661c5faa7f,Tech,neutral,neutral,neutral,neutral,neutral,
53ab1160c6d81d71,Tech,neutral,neutral,neutral,neutral,neutral,
57ae436310f23c24,Social,negative,neutral,neutral,neutral,neutral,gold_test
b5c2439989c5439a,Public,neutral,neutral,neutral,neutral,neutral,gold_dev
55ce3ac288f5ecae,Public,neutral,neutral,neutral,neutral,neutral,gold_dev
c3b5b946a28b3c56,Public,negative,negative,negative,negative,negative,gold_dev
7e2927ad6b0a26a0,Tech,positive,neutral,neutral,neutral,neutral,
a3131a5dd8a2f4b3,Tech,negative,negative,negative,negative,negative,gold_train
da3904aa172f29f0,Social,neutral,neutral,neutral,neutral,neutral,gold_dev
f17716bdf3786262,Social,neutral,positive,neutral,neutral,neutral,gold_dev
5cbc79a269edfd1b,Tech,positive,positive,positive,positive,positive,
0abe29a4ac7c0194,Tech,neutral,neutral,neutral,neutral,neutral,
64cc3181f2549396,Tech,positive,positive,positive,positive,positive,gold_dev
36bcb21319a0bd42,Tech,neutral,neutral,neutral,neutral,neutral,
15095c8423dfa8cf,Tech,neutral,neutral,neutral,neutral,neutral,
c693553bd2fa400e,Tech,neutral,neutral,neutral,neutral,neutral,
d1922e9fd59462f9,Tech,negative,positive,positive,positive,positive,
962d21f29bc57a86,Tech,negative,negative,negative,negative,negative,
2e581fc6e722e78e,Tech,neutral,neutral,neutral,neutral,neutral,
c7506731c577424b,Tech,neutral,neutral,neutral,neutral,neutral,
910c476b40aa0bb0,Finance,neutral,neutral,neutral,neutral,neutral,gold_test
cbd5b9462e599168,Tech,negative,negative,negative,negative,negative,
43968f1b8f3091b3,Tech,negative,negative,negative,negative,negative,
527418d04582093d,Finance,positive,neutral,neutral,neutral,neutral,gold_train
c9584b2d6ec2d005,Tech,negative,neutral,neutral,neutral,neutral,
cce0796bddaa8d7f,Tech,neutral,neutral,neutral,neutral,neutral,
fac5d41dc8582ef7,Tech,positive,positive,neutral,positive,positive,
3e2dc32042a7db28,Tech,negative,negative,negative,negative,negative,gold_test
90faebb78ce24d0c,Tech,negative,negative,negative,negative,negative,
4a70eec97e60b1fd,Tech,positive,neutral,positive,positive,positive,
075ce621606cb493,Tech,positive,positive,positive,positive,positive,
945824b776fbe673,Tech,positive,neutral,neutral,neutral,neutral,
cfac23640063c8e4,Tech,positive,positive,positive,positive,positive,
a40d2fd42017b105,Tech,neutral,neutral,neutral,neutral,neutral,gold_train
6c34bcd924654177,Tech,neutral,neutral,neutral,neutral,neutral,
94131e1cc41257bc,Tech,neutral,neutral,neutral,neutral,neutral,
e466b3649dbfb2cc,Finance,neutral,neutral,neutral,neutral,neutral,gold_dev
c6c2a8fb113f1a9c,Tech,negative,negative,negative,negative,negative,
f60ec7ea8b7d8ea4,Tech,neutral,neutral,neutral,neutral,neutral,
bd9e8dbb334a72f6,Tech,negative,negative,negative,negative,negative,
50ad4e6f942c2e6c,Tech,neutral,neutral,neutral,neutral,neutral,
41ab1a27f870606e,Tech,neutral,positive,neutral,neutral,neutral,
d4308210b037629e,Tech,neutral,neutral,neutral,neutral,neutral,
29944e4d940fa71d,Tech,neutral,neutral,neutral,neutral,neutral,
d64847ae894d3c01,Tech,neutral,neutral,neutral,neutral,neutral,
a0d3e402405623ad,Tech,neutral,neutral,neutral,neutral,neutral,
8ba0e11ce404d348,Tech,neutral,neutral,neutral,neutral,neutral,
496aa714382fedc6,Tech,neutral,neutral,neutral,neutral,neutral,
e383ccfc60dfeaac,Tech,neutral,neutral,neutral,neutral,neutral,
5f0c5fd5b8e5ed68,Tech,neutral,neutral,neutral,neutral,neutral,
3371ddcb1247f2d7,Tech,positive,neutral,positive,positive,positive,gold_test
27b1b463dfa87bf4,Tech,negative,negative,negative,negative,negative,
cc802737982b78cb,Tech,negative,negative,negative,negative,negative,
1cba76339dca1a63,Tech,neutral,negative,negative,negative,negative,
94357587b7719dd6,Finance,neutral,neutral,neutral,neutral,neutral,gold_train
6a37858408326405,Social,neutral,neutral,neutral,neutral,neutral,gold_dev
cb94b7d41cb02881,Tech,neutral,negative,neutral,neutral,neutral,
a4b6b406a3ebcb3e,Tech,positive,positive,positive,positive,positive,
fcbcc928d904768f,Finance,neutral,neutral,negative,neutral,neutral,gold_train
75acb6e8f5d8efa5,Tech,neutral,neutral,neutral,neutral,neutral,
c0f98f522077da61,Tech,positive,positive,positive,positive,positive,
5f75c9a650a3d77f,Tech,neutral,neutral,neutral,neutral,neutral,
497080de9b3fc40c,Tech,positive,positive,positive,positive,positive,gold_dev
4cdc5c1ee0792ce4,Tech,neutral,neutral,neutral,neutral,neutral,
0af3e8c985822611,Tech,neutral,neutral,neutral,neutral,neutral,
890b4d1a25299608,Public,negative,negative,negative,negative,negative,gold_train
2cc1934f01f3326d,Social,neutral,neutral,negative,neutral,neutral,gold_test
77f351d96116f15e,Tech,neutral,neutral,neutral,neutral,neutral,
0fb4d1ecad16c737,Social,neutral,neutral,neutral,neutral,neutral,gold_test
2d22dab18c6fd2e5,Tech,negative,negative,negative,negative,negative,
306976123cf8f44f,Social,neutral,neutral,neutral,neutral,neutral,gold_test
61cf9e1854a52f67,Tech,positive,positive,positive,positive,positive,
b892d187ae226187,Social,neutral,neutral,neutral,neutral,neutral,gold_test
449c067cc32fd033,Tech,negative,negative,negative,negative,negative,
d2a8dbb23d7cfa31,Tech,neutral,neutral,neutral,neutral,neutral,
0cfaadc3a81caf3f,Tech,neutral,neutral,neutral,neutral,neutral,
787ce701e8bace00,Public,neutral,neutral,neutral,neutral,neutral,gold_test
2572489c580c488a,Retail,negative,negative,negative,negative,negative,gold_test
0d23f0c8bd24442f,Tech,neutral,neutral,neutral,neutral,neutral,
084403ae2137e95e,Tech,neutral,neutral,negative,neutral,neutral,
31da0c69ffb213be,Tech,positive,positive,positive,positive,positive,
16cf39a65bb5fefa,Tech,neutral,neutral,neutral,neutral,neutral,
b57bfd69fb8a820f,Tech,neutral,neutral,neutral,neutral,neutral,gold_test
f090fa71579d8200,Tech,neutral,neutral,positive,neutral,neutral,
27f19ad857928e9e,Tech,negative,negative,negative,negative,negative,
d89385ca88661fd4,Tech,negative,negative,negative,negative,negative,
e33a1b134a032524,Tech,neutral,neutral,neutral,neutral,neutral,
b844f793f5409832,Retail,neutral,neutral,neutral,neutral,neutral,gold_test
7e51eece49b7a012,Finance,neutral,neutral,positive,neutral,neutral,gold_train
169574f6129edcf8,Social,negative,negative,neutral,negative,negative,gold_test
d6f07163d62b840d,Retail,neutral,neutral,neutral,neutral,neutral,gold_test
5e4a409de53cdc8f,Tech,neutral,neutral,negative,neutral,neutral,
1dd9a977d63677e9,Tech,neutral,neutral,neutral,neutral,neutral,
0ad6ae342032a002,Retail,neutral,neutral,neutral,neutral,neutral,gold_dev
d88397c33d0a3338,Tech,negative,negative,negative,negative,negative,
32b30397d58c1790,Tech,negative,negative,negative,negative,negative,
ed685e2df97cc51d,Tech,positive,positive,positive,positive,positive,
25011b5015a52fbc,Tech,neutral,neutral,neutral,neutral,neutral,
864f7977ab1ff0cd,Tech,negative,negative,negative,negative,negative,
3d6f941796458248,Social,positive,negative,positive,positive,positive,gold_test
c1820063f568dbc5,Tech,negative,negative,negative,negative,negative,
f08b0eb31c3dc0dd,Tech,neutral,negative,neutral,neutral,neutral,
ad7044c1f2ae27ca,Tech,negative,negative,negative,negative,negative,
9f7d0c98536f215b,Public,positive,negative,negative,negative,negative,gold_test
b7f78d0f10ab554c,Tech,neutral,neutral,neutral,neutral,neutral,
08d8853844d2e65e,Tech,neutral,neutral,negative,neutral,neutral,
21019f6d353c87e1,Tech,positive,positive,positive,positive,positive,
2d11f5865b2d33da,Tech,positive,positive,neutral,positive,positive,
f317e0e3a1732b96,Tech,negative,negative,neutral,negative,negative,
1c26487d7f73c0b2,Tech,neutral,positive,positive,positive,positive,
b4f1a7734cfcefbb,Social,positive,positive,positive,positive,positive,gold_test
62193a3daf632e73,Tech,negative,negative,negative,negative,negative,gold_train
b606d8e197da1194,Public,negative,negative,negative,negative,negative,gold_train
18ab7e1f25a72950,Tech,neutral,neutral,neutral,neutral,neutral,
f4d558b3d5ab598e,Tech,neutral,neutral,neutral,neutral,neutral,
0cd8fae232542d16,Retail,neutral,neutral,neutral,neutral,neutral,gold_test
510ab15b7d48613c,Finance,negative,negative,negative,negative,negative,gold_dev
362a5154a58d0123,Tech,negative,negative,negative,negative,negative,
b1f051aae9b98117,Tech,neutral,positive,neutral,neutral,neutral,
5f8daca8edfac854,Tech,neutral,neutral,neutral,neutral,neutral,
884df3a0b26d1417,Tech,negative,negative,negative,negative,negative,
6e060476f51ce5f1,Tech,negative,negative,negative,negative,negative,
ad14ee6c49b51131,Tech,negative,negative,negative,negative,negative,
30842937b5512f9e,Social,positive,positive,positive,positive,positive,gold_dev
c8018e3599011df4,Tech,neutral,negative,neutral,neutral,neutral,gold_train
75a8a0dcbed9ac5f,Tech,positive,positive,positive,positive,positive,
d83c23ccfc19d885,Retail,positive,neutral,neutral,neutral,neutral,gold_dev
c55a5fad20d3e73a,Tech,neutral,neutral,neutral,neutral,neutral,
db84fdf1d6f72d08,Retail,neutral,neutral,neutral,neutral,neutral,gold_test
72347219de758407,Tech,neutral,neutral,neutral,neutral,neutral,
4dc3456e6f33ccbe,Public,neutral,neutral,neutral,neutral,neutral,gold_test
8202595e012af2a0,Retail,positive,positive,positive,positive,positive,gold_test
2efc99dd59e946c4,Tech,positive,positive,positive,positive,positive,
20b9e08d96180349,Tech,neutral,positive,neutral,neutral,neutral,
af78f7961035e700,Tech,negative,negative,positive,negative,negative,
9b1022494223c203,Public,negative,negative,negative,negative,negative,gold_dev
341c72c30974221e,Retail,negative,negative,neutral,negative,negative,gold_test
161b3a257785270a,Tech,negative,negative,positive,negative,negative,
31dbafae38127da2,Tech,positive,positive,positive,positive,positive,
a5eb916c5893077d,Retail,negative,negative,negative,negative,negative,gold_test
91de3539441972a0,Tech,positive,positive,neutral,positive,positive,
c7acdcacd4aed276,Retail,neutral,negative,neutral,neutral,neutral,gold_dev
557d9b181343bc89,Tech,negative,negative,negative,negative,negative,
0022b6be7876a6c5,Tech,negative,negative,negative,negative,negative,gold_test
0e0edacabab0730e,Tech,negative,negative,negative,negative,negative,
36d6dbb29a1b6eef,Tech,positive,neutral,neutral,neutral,neutral,
c799a08f6bbb6c4a,Tech,negative,negative,neutral,negative,negative,
389f226db36ade83,Tech,neutral,neutral,neutral,neutral,neutral,
c2c2ca33eed604ea,Tech,neutral,neutral,neutral,neutral,neutral,
720ff9d7fe0b69e3,Tech,negative,negative,negative,negative,negative,
4483a875b2694e58,Tech,neutral,neutral,neutral,neutral,neutral,
cf1af40cab6def78,Tech,negative,negative,negative,negative,negative,
1e041050eb4d5803,Tech,neutral,neutral,neutral,neutral,neutral,
1cbe777f823cb6bb,Tech,negative,negative,negative,negative,negative,
71d4fe036bd6c17a,Tech,neutral,neutral,neutral,neutral,neutral,
4590046a59b092ad,Tech,neutral,neutral,neutral,neutral,neutral,
62ab65b8f1f23d54,Tech,negative,negative,negative,negative,negative,
ad4a8db419f71441,Tech,positive,positive,positive,positive,positive,
386e96d9cadb75ad,Retail,neutral,negative,negative,negative,negative,gold_test
292bb5afae116cfa,Tech,neutral,neutral,neutral,neutral,neutral,
5ff0b675b55865f0,Tech,negative,negative,negative,negative,negative,
9a4fd54ab580c714,Tech,neutral,neutral,neutral,neutral,neutral,
15d3978b472a1b89,Tech,positive,positive,positive,positive,positive,
c1177477b805d228,Tech,neutral,neutral,neutral,neutral,neutral,
12ff0f0e17964357,Tech,positive,neutral,neutral,neutral,neutral,
c96425180ee59a33,Tech,neutral,neutral,neutral,neutral,neutral,
3b622b1a3643663b,Social,neutral,neutral,neutral,neutral,neutral,gold_dev
0c7cdb237dc7d6a5,Tech,neutral,positive,neutral,neutral,neutral,
b05ad09bfe58d138,Tech,neutral,neutral,negative,negative,negative,
c84d1a6fba613ebf,Tech,neutral,neutral,neutral,neutral,neutral,
38e9482b77b4a474,Tech,positive,positive,positive,positive,positive,
08d91dc3b2152270,Social,neutral,neutral,negative,neutral,neutral,gold_test
a49a2996c5adf991,Tech,positive,neutral,neutral,neutral,neutral,
0134e7e4fd24f80e,Tech,positive,positive,positive,positive,positive,
fab96b2c6ab091ae,Tech,neutral,neutral,neutral,neutral,neutral,
c054ddac20930a9f,Tech,negative,positive,positive,positive,positive,
f579e24b2bed89ee,Tech,positive,positive,positive,positive,positive,
5910b48ad20595ef,Tech,positive,positive,positive,positive,positive,
34525e0a9feaea70,Retail,negative,negative,negative,negative,negative,gold_test
b6f70bb13f1c4cc5,Finance,neutral,neutral,neutral,neutral,neutral,gold_test
1aaadaf947cd2160,Tech,neutral,negative,negative,negative,negative,
eb752e9d3bd1cbfa,Tech,negative,neutral,negative,negative,negative,gold_train
b8f3bef155837567,Finance,neutral,neutral,neutral,neutral,neutral,gold_train
e1f8d91c3e679eeb,Tech,negative,negative,negative,negative,negative,
f0931ef8c42f2a74,Public,neutral,neutral,neutral,neutral,neutral,gold_dev
07ccbda737bae16b,Tech,negative,negative,negative,negative,negative,
ab3a477eea649677,Public,neutral,negative,negative,negative,negative,gold_dev
d2e06937de2b321f,Tech,positive,negative,positive,positive,positive,
e536345f370ddd3c,Tech,negative,negative,negative,negative,negative,gold_train
bd9a0672f8d9bbff,Tech,neutral,neutral,neutral,neutral,neutral,
443ed82a7690b678,Tech,neutral,neutral,neutral,neutral,neutral,
00bf81d06f3131d6,Tech,negative,negative,negative,negative,negative,
b919d5276de7cb1a,Tech,negative,negative,negative,negative,negative,
bf364f2c80c90b92,Tech,neutral,neutral,neutral,neutral,neutral,
11126fe23b719209,Tech,negative,neutral,negative,negative,negative,
e1a13cc6af08511f,Tech,neutral,neutral,neutral,neutral,neutral,
02daaba185c25b66,Tech,positive,positive,positive,positive,positive,
45505466c0348bd7,Tech,positive,neutral,neutral,neutral,neutral,
ab12f5c6fbceb212,Finance,neutral,negative,neutral,negative,negative,gold_train
0760ad5c64e1d41f,Tech,positive,positive,positive,positive,positive,
faca1d46e995454d,Tech,neutral,neutral,neutral,neutral,neutral,
9fcbb4d6fbaae912,Tech,neutral,neutral,negative,neutral,neutral,
ffab4764677771cd,Tech,positive,neutral,neutral,neutral,neutral,
7cdc47a87a573287,Tech,neutral,neutral,neutral,neutral,neutral,
9ce4f6116819739d,Retail,neutral,neutral,neutral,neutral,neutral,gold_test
d51988e332016229,Tech,positive,positive,positive,positive,positive,
6d0bbec24427f3e5,Public,neutral,positive,neutral,neutral,neutral,gold_dev
8bf240c0d5e7f43c,Tech,neutral,neutral,neutral,neutral,neutral,
9c8a77e20e7880c6,Tech,negative,negative,negative,negative,negative,
05cc806d699b2617,Retail,negative,negative,negative,negative,negative,gold_test
fffb4d9adb6f5399,Tech,negative,negative,negative,negative,negative,
86531861556c7871,Tech,negative,neutral,neutral,neutral,neutral,
80e25d0979fb3477,Tech,negative,negative,negative,negative,negative,
b2b5f82299ef5072,Tech,neutral,neutral,neutral,neutral,neutral,gold_dev
4bf57119bab83c63,Finance,negative,negative,negative,negative,negative,gold_train
3f3c85386b3551ae,Finance,neutral,neutral,neutral,neutral,neutral,gold_test
c6d464e776b6e7f7,Finance,negative,negative,negative,negative,negative,gold_test
4cc33c651cd60b2e,Social,positive,positive,positive,positive,positive,gold_test
912fee855006c03a,Tech,neutral,neutral,neutral,neutral,neutral,
a9de7d1e895c6c63,Tech,neutral,neutral,neutral,neutral,neutral,
d4831fc77a65827a,Tech,neutral,neutral,neutral,neutral,neutral,
1c49ac6804b2666e,Social,positive,positive,positive,positive,positive,gold_test
c0959b5ad36d7ece,Tech,positive,positive,positive,positive,positive,
75b304be5573b8d0,Tech,negative,negative,negative,negative,negative,
4c02ab402f498992,Tech,neutral,neutral,neutral,neutral,neutral,
b6973ebe341d55df,Tech,negative,negative,negative,negative,negative,
128899985e5b531d,Tech,negative,negative,negative,negative,negative,
9d1e13047e380544,Public,negative,negative,negative,negative,negative,gold_test
fb0cb04d8471be17,Tech,negative,neutral,negative,negative,negative,
afec1bb900d77ac0,Tech,neutral,neutral,neutral,neutral,neutral,gold_train
eb6b060e68ecf7c4,Tech,negative,negative,negative,negative,negative,
74effbe0cda3a4fa,Tech,neutral,neutral,neutral,neutral,neutral,
acc35fd3c6fce2d4,Tech,negative,negative,negative,negative,negative,
f712c5567d452a68,Tech,neutral,neutral,neutral,neutral,neutral,
97a42cd76ab497b6,Tech,positive,positive,positive,positive,positive,
f5a5fb060e680aae,Tech,neutral,neutral,neutral,neutral,neutral,
55250a015822599c,Tech,negative,neutral,negative,negative,negative,
0d24f1e54eb5e2f0,Tech,neutral,negative,neutral,neutral,neutral,
2bdd4bc10de27718,Tech,positive,positive,positive,positive,positive,
032a112b767f8ad8,Tech,negative,negative,negative,negative,negative,
25d61b92b8f9341c,Tech,neutral,neutral,neutral,neutral,neutral,
67171cee84cc6d2f,Tech,negative,negative,negative,negative,negative,
359e7965875c97f6,Tech,neutral,neutral,neutral,neutral,neutral,
04a6a50be87ffdc6,Tech,neutral,neutral,neutral,neutral,neutral,gold_train
b5ae1cec98e69684,Tech,neutral,neutral,positive,neutral,neutral,
6e6aceafb7920d43,Tech,positive,positive,positive,positive,positive,
ddeb21afa63f5673,Tech,negative,negative,negative,negative,negative,
5d74d809447bd6de,Tech,negative,neutral,negative,negative,negative,
0aa8883d23737160,Tech,negative,negative,negative,negative,negative,
111ee56551164bc8,Social,neutral,neutral,neutral,neutral,neutral,gold_test
a30f419abddd67ad,Public,negative,negative,neutral,negative,negative,gold_dev
6b70c14468646e82,Tech,negative,negative,negative,negative,negative,
a1f1eed329762407,Tech,neutral,neutral,neutral,neutral,neutral,
33711bfc4b4ecbd0,Public,neutral,neutral,neutral,neutral,neutral,gold_dev
202d9178b336a3d9,Tech,neutral,neutral,neutral,neutral,neutral,
fca5b00f34845485,Tech,neutral,neutral,neutral,neutral,neutral,
8fe354045348d02f,Tech,neutral,neutral,negative,neutral,neutral,
a54111790818cee6,Tech,neutral,neutral,neutral,neutral,neutral,gold_test
f336542fca5e73bd,Tech,positive,neutral,positive,positive,positive,
32ba9c2e22187fe3,Tech,positive,neutral,positive,positive,positive,
c2c8c5e93babe79c,Tech,negative,neutral,neutral,neutral,neutral,
625255b2e5c0d18c,Tech,positive,positive,positive,positive,positive,
b11d7369f9f3ef1d,Tech,neutral,neutral,neutral,neutral,neutral,
2a585b09fb8a3d24,Tech,negative,positive,negative,negative,negative,
337d2fbb93f40dcc,Tech,negative,negative,negative,negative,negative,gold_train
340ff3959da0fb1f,Tech,neutral,neutral,neutral,neutral,neutral,gold_dev
2df73de55909d5c8,Tech,negative,positive,negative,negative,negative,
e78a55905262609c,Tech,neutral,neutral,neutral,neutral,neutral,
